IDMacroKind,Name,Permissions,Permissions2,State,GenerationType
88,SCR_ON_INV,381747200,256,0,1
89,SCR_OFF_INV,381747200,256,0,1
90,TRIAC_OFF,381747200,256,0,1
91,TRIAC_ON_INV,381747200,256,0,1
92,TRIAC_OFF_INV,381747200,256,0,1
93,VOLTAGE_REG,1455489024,256,0,1
96,CRYSTAL,381763584,256,0,1
97,OP_AMP_VF,381763584,256,0,1
99,POWER,314671104,0,0,1
100,COMPARATOR,381763584,256,0,1
101,OP_AMP_GAIN,381763584,256,0,1
102,DIODE_2,381747200,257,0,1
103,DIODE_2_INV,381747200,257,0,1
104,_DISCHARGE,297861120,0,0,1
105,_HOTAIRFLOW,304087040,4096,0,10
109,CONTACT,306249728,1,0,4
110,SHORT,306249728,1,0,2
111,ZENER,381747200,257,0,1
112,ZENER_DIR,381747200,257,0,1
113,CAP_READ,370147328,0,0,3
114,CAP_BEGIN,370147332,0,0,1
115,TRIMMER,381747200,256,0,1
116,FNODE_PARSE,381747204,0,0,1
117,CAPACITOR_LOW,515964928,256,0,1
118,AUTIC,381747200,16641,0,11
119,POWER_CHECK,314654720,256,0,1
120,ASKUSER,335478784,0,0,1
121,MESSAGE,335478784,0,0,1
122,MEAS_IMP,381747200,256,0,1
123,IMPCHECK,381747200,256,0,1
124,MOVEPROBE,395313152,0,0,1
125,SERVICE,399572992,0,0,1
